model,family,mape,rmse,mae,train_time_sec,predict_time_sec,aic
SARIMAX,BEVERAGES,49.70139697719343,58736.14259150997,51467.659317229605,0.9293050999986008,0.0032414000015705824,32729.870108797157
SARIMA,BEVERAGES,74.02757074579583,73701.07361758036,65214.21286174156,1.304562099991017,0.0026925999991362914,32762.094819875103
SARIMAX,CLEANING,139.78183611441256,20910.015431015974,17877.942004350043,1.3574029000010341,0.003473599994322285,30166.12954918372
SARIMA,CLEANING,153.7364215739864,20400.0786468456,17675.13377767538,1.2301899000012781,0.0033665999944787472,29833.94747218903
SARIMAX,DAIRY,89.45124185258987,15252.715348614758,13191.106875481959,0.5886985999968601,0.003674799998407252,28656.41453882798
SARIMA,DAIRY,95.19317115229408,16835.85520172098,14758.86215385673,0.5583445000083884,0.002737699993303977,28400.620094447935
SARIMAX,GROCERY I,65.24098517641245,50684.56850438191,37813.734298113806,1.4990799999941373,0.003922799995052628,33910.76917808239
SARIMA,GROCERY I,145.80981980465342,124337.60613108076,116300.15920703908,0.8965925999946194,0.0042351000010967255,33945.3799934861
SARIMAX,PRODUCE,79.777142701581,29559.25057350606,25267.41991960359,2.9354650000022957,0.003501899991533719,31960.94545952735
SARIMA,PRODUCE,84.68726024746779,33466.21540254424,29432.71370538569,1.0964804000104778,0.003762799999094568,32107.320254604387
